cell                                                                   check                 verdict  detail
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    latency k=1000 bs=8   FAIL     v2 graph 1.3241 ms golden 1.3082 ms ratio 1.012 [sm 1410/1155 MHz → normalised ratio 1.236]; v2 eager 1.4406 ms
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    latency k=1000 bs=16  FAIL     v2 graph 2.1446 ms golden 2.0908 ms ratio 1.026 [sm 1410/1155 MHz → normalised ratio 1.252]; v2 eager 2.3222 ms
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    graph                 PASS     9/9 graph entries measured (cudagraph_skips == 0)
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    parity                INFO     parity=reference (wrote the reference or no quality)
goodreads-d128-clause/c0_genre-linr_v4-triton-s0-{}                    stable                FAIL     unstable: clocks_drift
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     quality recall@100    FAIL     v2 0.982127 golden 0.982054 |diff| 7.3e-05 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     quality ndcg@100      FAIL     v2 0.987107 golden 0.987055 |diff| 5.2e-05 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     quality recall@500    FAIL     v2 0.986103 golden 0.986094 |diff| 9.3e-06 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     quality ndcg@500      FAIL     v2 0.988981 golden 0.988973 |diff| 7.3e-06 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     quality recall@1000   FAIL     v2 0.987318 golden 0.987316 |diff| 2.1e-06 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     quality ndcg@1000     FAIL     v2 0.989633 golden 0.989631 |diff| 1.6e-06 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     latency k=100 bs=1    FAIL     v2 graph 0.5886 ms golden 0.5969 ms ratio 0.986 [sm 1410/1155 MHz → normalised ratio 1.204]; v2 eager 0.8811 ms
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     latency k=100 bs=8    FAIL     v2 graph 1.1472 ms golden 1.1389 ms ratio 1.007 [sm 1410/1155 MHz → normalised ratio 1.230]; v2 eager 2.8977 ms
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     latency k=100 bs=16   FAIL     v2 graph 1.8209 ms golden 1.8392 ms ratio 0.990 [sm 1410/1155 MHz → normalised ratio 1.209]; v2 eager 5.2374 ms
goodreads-d128-clause/c0_genre-linr_v4-torch-s0-{}                     latency k=500 bs=1    PASS     v2 graph 0.6022 ms golden 0.7265 ms ratio 0.829 [sm 1410/1155 MHz → normalised ratio 1.012]; v2 eager 0.8956 ms
